time.struct_time(tm_year=2025, tm_mon=11, tm_mday=22, tm_hour=20, tm_min=7, tm_sec=35, tm_wday=5, tm_yday=326, tm_isdst=0) - OTP_FAILURE - hammad - Wrong OTP attempt 1
time.struct_time(tm_year=2025, tm_mon=11, tm_mday=22, tm_hour=20, tm_min=7, tm_sec=37, tm_wday=5, tm_yday=326, tm_isdst=0) - OTP_FAILURE - hammad - Wrong OTP attempt 2
time.struct_time(tm_year=2025, tm_mon=11, tm_mday=22, tm_hour=20, tm_min=7, tm_sec=38, tm_wday=5, tm_yday=326, tm_isdst=0) - OTP_FAILURE - hammad - Wrong OTP attempt 3
time.struct_time(tm_year=2025, tm_mon=11, tm_mday=22, tm_hour=20, tm_min=7, tm_sec=38, tm_wday=5, tm_yday=326, tm_isdst=0) - MAX LOGIN ATTEMPTS - hammad - Excceeded OTP Attempts
[2025-11-22 20:12:22.427681] OTP_FAILURE | user=hammad | Wrong OTP attempt 1
[2025-11-22 20:12:23.454745] OTP_FAILURE | user=hammad | Wrong OTP attempt 2
[2025-11-22 20:12:24.373632] OTP_FAILURE | user=hammad | Wrong OTP attempt 3
[2025-11-22 20:12:24.373808] MAX LOGIN ATTEMPTS | user=hammad | Excceeded OTP Attempts
[2025-11-22 20:12:42.972537] INVALID CREDENTIALS | user=hammad | Unknown username
[2025-11-22 20:13:34.728409] INVALID CREDENTIALS | user=hammad | Wrong Password
[2025-11-22 20:14:05.539442] INVALID CREDENTIALS | user=hammad | Wrong Password
[2025-11-22 20:14:12.758862] INVALID CREDENTIALS | user=aeohowhrowher | Unknown Username
[2025-11-22 20:17:09] INVALID CREDENTIALS | user=hammad | Wrong Password
[2025-11-22 20:46:03] OTP_FAILURE | user=perry | Wrong OTP attempt 1
[2025-11-22 20:46:04] OTP_FAILURE | user=perry | Wrong OTP attempt 2
[2025-11-22 20:46:05] OTP_FAILURE | user=perry | Wrong OTP attempt 3
[2025-11-22 20:46:05] MAX LOGIN ATTEMPTS | user=perry | Excceeded OTP Attempts
[2025-11-22 21:07:23] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:08:02] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:09:11] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:09:16] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:09:30] ACCOUNT_LOCKED | user=kary | Too many failed password attempts
[2025-11-22 21:10:45] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:10:50] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:10:54] INVALID CREDENTIALS | user=karry | Unknown Username
[2025-11-22 21:11:02] INVALID CREDENTIALS | user=karry | Unknown Username
[2025-11-22 21:11:14] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:11:18] INVALID_CREDENTIALS | user=kary | Wrong password
[2025-11-22 21:11:28] ACCOUNT_LOCKED | user=kary | Too many failed password attempts
[2025-11-22 22:31:45] OTP_FAILURE | user=mahmood | Wrong OTP attempt 1
[2025-11-22 22:31:46] OTP_FAILURE | user=mahmood | Wrong OTP attempt 2
[2025-11-22 22:31:47] OTP_FAILURE | user=mahmood | Wrong OTP attempt 3
[2025-11-22 22:31:47] MAX LOGIN ATTEMPTS | user=mahmood | Excceeded OTP Attempts
[2025-11-22 22:35:40] OTP_FAILURE | user=ali | Wrong OTP attempt 1
[2025-11-22 22:35:42] OTP_FAILURE | user=ali | Wrong OTP attempt 2
[2025-11-22 22:35:43] OTP_FAILURE | user=ali | Wrong OTP attempt 3
[2025-11-22 22:35:43] MAX LOGIN ATTEMPTS | user=ali | Excceeded OTP Attempts
[2025-11-23 05:11:18] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:14:33] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:15:07] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:22:57] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:22:59] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:23:01] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:23:02] ACCOUNT_LOCKED | user=hammad34 | Too many failed password attempts
[2025-11-23 05:23:06] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:24:08] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:24:10] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:24:11] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:24:13] INVALID_CREDENTIALS | user=hammad34 | Wrong password
[2025-11-23 05:24:16] ACCOUNT_LOCKED | user=hammad34 | Too many failed password attempts
[2025-12-30 23:52:05] PASSWORD_VERIFIED | user=j | Correct password
[2025-12-30 23:53:47] LOGIN SUCCESSFUL | user=j | Correct password + OTP
[2025-12-31 01:00:33] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 01:00:40] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 01:00:42] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 01:00:44] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 01:00:45] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 01:00:45] ACCOUNT_LOCKED | user=j | Too many failed password attempts
[2025-12-31 04:19:04] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 04:21:34] INVALID_CREDENTIALS | user=j | Wrong password
[2025-12-31 04:21:36] INVALID_CREDENTIALS | user=j | Wrong password
[2026-01-03 21:40:56] INVALID CREDENTIALS | user=hammd123 | Unknown Username
[2026-01-03 21:41:19] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 21:41:54] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 21:43:16] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 21:43:18] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 21:43:21] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 21:43:23] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 21:43:24] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 21:43:24] ACCOUNT_LOCKED | user=hammad123 | Too many failed password attempts
[2026-01-03 21:43:34] ACCOUNT_LOCKED | user=hammad123 | Login attempt while locked
[2026-01-03 21:45:46] INVALID CREDENTIALS | user=hammad | Unknown Username
[2026-01-03 21:45:57] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 21:45:59] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 1
[2026-01-03 21:46:01] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 2
[2026-01-03 21:46:02] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 3
[2026-01-03 21:46:08] INVALID CREDENTIALS | user=hammad | Unknown Username
[2026-01-03 21:46:14] INVALID CREDENTIALS | user=hammad | Unknown Username
[2026-01-03 21:46:24] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 21:46:26] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 1
[2026-01-03 21:46:27] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 2
[2026-01-03 21:46:27] MAX LOGIN ATTEMPTS | user=hammad123 | Exceeded OTP Attempts
[2026-01-03 21:46:31] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 3
[2026-01-03 22:01:21] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:01:56] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:15:36] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:16:09] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 22:23:26] INVALID CREDENTIALS | user=hammad | Unknown Username
[2026-01-03 22:23:43] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:24:08] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 22:24:18] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:24:20] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:24:21] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:24:21] ACCOUNT_LOCKED | user=hammad123 | Too many failed password attempts
[2026-01-03 22:25:33] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:28:48] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:36:56] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:37:16] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 22:37:35] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:37:37] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:37:38] INVALID_CREDENTIALS | user=hammad123 | Wrong password
[2026-01-03 22:37:38] ACCOUNT_LOCKED | user=hammad123 | Too many failed password attempts
[2026-01-03 22:38:44] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 22:39:37] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 22:49:02] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 1
[2026-01-03 22:49:16] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 23:08:22] PASSWORD_VERIFIED | user=hammad:@12 | Correct password
[2026-01-03 23:08:39] OTP_FAILURE | user=hammad:@12 | Wrong OTP attempt 1
[2026-01-03 23:08:42] OTP_FAILURE | user=hammad:@12 | Wrong OTP attempt 2
[2026-01-03 23:08:45] OTP_FAILURE | user=hammad:@12 | Wrong OTP attempt 3
[2026-01-03 23:08:45] MAX LOGIN ATTEMPTS | user=hammad:@12 | Exceeded OTP Attempts
[2026-01-03 23:13:02] PASSWORD_VERIFIED | user=hammad:@12 | Correct password
[2026-01-03 23:13:44] LOGIN SUCCESSFUL | user=hammad:@12 | Correct password + OTP
[2026-01-03 23:15:29] PASSWORD_VERIFIED | user=hammad123 | Correct password
[2026-01-03 23:15:37] OTP_FAILURE | user=hammad123 | Wrong OTP attempt 1
[2026-01-03 23:16:09] LOGIN SUCCESSFUL | user=hammad123 | Correct password + OTP
[2026-01-03 23:23:13] PASSWORD_VERIFIED | user=hammad:@12 | Correct password
[2026-01-03 23:23:39] LOGIN SUCCESSFUL | user=hammad:@12 | Correct password + OTP
[2026-01-03 23:42:43] PASSWORD_VERIFIED | user=hammad123 | Correct password
